Lat,Lon
40.8547531,-73.89354428
40.72618713,-73.7352339
40.62619183,-73.99414744
40.62619183,-73.99414744
40.66494692,-73.87813132
40.69746611,-73.95073917
40.70927426,-73.77546828
40.69873677,-73.83156877
40.6803734,-73.89274103
40.68037784,-73.86797196
40.70872736,-73.96418468
40.89951776,-73.85903606
40.63728479,-73.95238335
40.63728479,-73.95238335
40.68952983,-73.78195327
40.71103787,-73.74581228
40.74879404,-73.87303347
40.7990088,-73.95240854
40.68957273,-73.79637673
40.64472613,-74.07748316
40.8653596,-73.91829294
40.6449136,-73.93738385
40.86601218,-73.86735033
40.64927243,-73.92817948
40.63944123,-74.11769574
40.78650073,-73.94546243
40.67513784,-73.91787707
40.7091865,-73.81915607
40.74975516,-73.98561539
40.69965045,-73.93833142
40.70891055,-73.94218228
40.86584119,-73.8959995
40.68945317,-73.95512263
40.83333631,-73.91717589
40.83626606,-73.91131782
40.68578483,-73.86778097
40.67110691,-73.88143296
40.67765796,-73.82857196
40.63659365,-73.961132
40.59731855,-73.98537456
40.67967007,-73.93615063
40.63827774,-74.07879081
40.8540683,-73.91505349
40.85046601,-73.91711842
40.81283384,-73.92193387
40.76930609,-73.91550818
40.84297932,-73.91456166
40.67017578,-73.91478301
40.66011878,-73.91461564
40.69528791,-73.81457062
40.67224088,-73.92837105
40.78860857,-73.93972964
40.8872126,-73.85403506
40.64741804,-73.8970823
40.85603281,-73.88844881
40.70060164,-73.85456625
40.67016743,-73.93100481
40.66888378,-73.93252014
40.6713371,-73.936447
40.655244,-73.95978043
40.71812038,-73.95743013
40.79945564,-73.96643661
40.76926548,-73.93306827
40.57983235,-73.99836706
40.84063214,-73.86288334
40.82275865,-73.91046868
40.79696082,-73.93979431
40.67258137,-73.77371722
40.68214892,-73.92742298
40.82948981,-73.93705478
40.65269787,-73.96284167
40.82682868,-73.92535011
40.69033058,-73.94093631
40.67572774,-73.92148148
40.88745131,-73.84760779
40.67916322,-73.89011108
40.83842419,-73.86653799
40.87517047,-73.9090602
40.80837424,-73.92699636
40.63900517,-73.95785532
40.66305654,-73.92362303
40.78935268,-73.94027066
40.85396027,-73.90012088
40.63637696,-73.9615825
40.82525899,-73.92578546
40.90026062,-73.84543334
40.66609069,-73.87737226
40.66504325,-73.89213488
40.63698203,-73.97618891
40.84425887,-73.88105568
40.6153262,-74.09949614
40.72265359,-73.84043373
40.68379864,-73.9618905
40.81600532,-73.90877977
40.84209385,-73.91232202
40.84209385,-73.91232202
40.70973296,-73.94019773
40.81566988,-73.93656207
40.66752156,-73.9076491
40.87124861,-73.83700378
40.63426312,-73.92268319
40.8218896,-73.85926192
40.6938013,-73.97440522
40.71550512,-73.74774319
40.70117123,-73.83525569
40.63662238,-73.92084292
40.67608952,-73.90612667
40.66081646,-73.91529957
40.67204206,-73.90746259
40.6904918,-73.93953346
40.83550462,-73.93918123
40.69420386,-73.90808094
40.70451767,-73.77133659
40.64842112,-73.90489711
40.69758167,-73.91763304
40.804046,-73.93660927
40.7282508,-74.00537373
40.83246995,-73.90424016
40.67192673,-73.93082274
40.8691734,-73.89023097
40.70122877,-73.92462519
40.6346419,-73.9532031
40.70390518,-73.94438308
40.69969649,-73.91204045
40.88930664,-73.90032456
40.85131609,-73.90211652
40.5959014,-73.93525851
40.65905127,-73.96053503
40.71856407,-73.98820145
40.77306512,-73.9299956
40.82802871,-73.87523099
40.59511361,-73.75954053
40.6328016,-73.95012759
40.82474722,-73.89886758
40.67334104,-73.93208303
40.6645275,-73.94773929
40.75018942,-73.89006611
40.67429344,-73.96176615
40.67294517,-73.96892643
40.66541514,-73.95697354
40.7606327,-73.9714701
40.75411979,-73.9902128
40.67445924,-73.93889548
40.77872224,-73.81234155
40.5986837,-73.7577992
40.59312356,-73.97925072
40.64189198,-74.00649821
40.81959489,-73.91162907
40.82182385,-73.91946645
40.84942679,-73.91112316
40.67110691,-73.88143296
40.64994445,-73.96159631
40.8449101,-73.89009752
40.79587529,-73.93723103
40.69421996,-73.9821186
40.69421996,-73.9821186
40.69421996,-73.9821186
40.86502854,-73.89276136
40.84390126,-73.90050463
40.82887373,-73.90681088
40.71007232,-73.99628985
40.80153609,-73.93440836
40.76672941,-73.91267394
