"","Name","Location","YearRound","Handicap","Borough","Lat","Lon"
"98","Carmansville Playground","Amsterdam Avenue, West 151 to West 152 streets","Yes","No","Manhattan",43.6382236,-79.3845942
"99","Carroll Park","Court & Smith Streets","Yes","Yes","Brooklyn",41.7172937,21.7828041
"100","Carver Playground","Ralph Avenue & Sumpter Street","No","No","Brooklyn",40.634696,-73.9188247
"103","Castlewood Playground (PS 186)","Little Neck Parkway & 72 Avenue","Yes","No","Queens",40.7536177,-73.7227354
"104","Cauldwell Playground","Caldwell Avenue, East 163 Street, East 161 Street","Yes","No","Bronx",18.0297912,-76.8453799
"105","Cavanaugh Triangle (Angelo Campanero Playground)","East Gun Hill Road, Eastchest Road, & O'Neil Place","Yes","Yes","Bronx",40.868492,-73.842659
"107","Central Park (Ancient Playground)","85 ST & 5TH AVE","No","Yes","Manhattan",27.7487325,-80.4884846
"112","Central Park (Heckscher Playground)","62 ST, BET WEST & CENTER DRS","No","No","Manhattan",29.8342058,31.3504823
"113","Central Park (Kerbs Boathouse)","74th Street near Fifth Avenue","Yes","No","Manhattan",33.503068,-111.921811
"114","Central Park (Lasker)","Central Park at 107th Street","Yes","Yes","Manhattan",40.7987267,-73.9595458
"117","Central Park (Ramble)","Central Park","No","No","Manhattan",40.7828647,-73.9653551
"119","Central Park (Tavern on The Green)","Central Park","No","No","Manhattan",40.7828647,-73.9653551
"120","Central Park (Tennis Courts)","93d Street near the West Drive","Yes","No","Manhattan",39.9187279,-75.5793046
"121","Central Park (The Great Hill)","West Side from 103rd to 107th streets","No","No","Manhattan",41.8810644,-87.663045
"122","Central Park (The Metropolitan Museum of Art)","Fifth Avenue at 82nd Street","Yes","No","Manhattan",40.7789422,-73.9623032
"123","Central Park (West 61st)","West Drive, Central Park West, & 65th Street Transverse","No","No","Manhattan",28.1067129,-80.6910295
"125","Central Park Delacorte Comfort Station","Mid-Park at 80th Street","Yes","Yes","Manhattan",61.1483036,-149.8151437
"126","Century Playground","Brighton Beach Avenue & West 2 Street","Yes","No","Brooklyn",40.5775615,-73.961412
"127","Challenge Playground (PS 187) 251 Street Playground","251 Street & 63 Avenue","No","No","Queens",43.7457298,-97.6172678
"128","Chelsea Park","West 27 Street & 9 Avenue","Yes","No","Manhattan",36.8756394,-76.2967379
"129","Chelsea Recreation Center","South of West 25 Street, 9 to 10 avenues","Yes","Yes","Manhattan",43.6692624,-79.3946224
"130","Cherry Tree (Washington) Playground","99 to 100 streets, 3 Avenue","Yes","No","Manhattan",38.2588241,-85.7764192
"131","Chester Playground","Chester Street, Sutter Avenue","Yes","No","Brooklyn",36.2198886,-115.1881888
"132","Ciccarone Park Playground","Arthur Avenue, East 188 Street","Yes","No","Bronx",44.966451,-93.217218
"133","City Line Park","Atlantic & Fountain avenues","Yes","No","Brooklyn",41.4036007,-95.0138776
"134","Claremont Park","Mount Eden Parkway & Morris Avenue","Yes","No","Bronx",40.8427457,-73.908643
