OBJECTID,the_geom,Boro,Type,Provider,Park_Wifi,Location,Lat,Long_,X,Y,Location_T,Remarks,City,Zip
262,POINT (-73.80289999981828 40.747299999847414),QU,Limited Free,TimeWarner,Kissena Park,Track and Field - Southeast of Kissena Lake,40.7472999998,-73.8028999998,1038863.23,211599.631641,,,Queens,
263,POINT (-73.80270000006 40.74909999991246),QU,Limited Free,TimeWarner,Kissena Park,Playground,40.7490999999,-73.8027000001,1038917.16952,212255.552573,,,Queens,
264,POINT (-73.80017599984639 40.58647800001727),QU,Limited Free,TimeWarner,Rockaway Beach,Beach 73 Street  1,40.586478,-73.8001759998,1039751.66326,153009.476839,,,Queens,
265,POINT (-73.80009099983815 40.58648400005083),QU,Limited Free,TimeWarner,Rockaway Beach,Beach 73 Street  2,40.5864840001,-73.8000909998,1039775.26722,153011.716664,,,Queens,
266,POINT (-73.78959999978056 40.67450000031612),QU,Limited Free,TimeWarner,Baisley Pond Park,Playground,40.6745000003,-73.7895999998,1042612.14475,185085.03572,,,Queens,
267,POINT (-73.78940000027725 40.667600000289745),QU,Limited Free,TimeWarner,Baisley Pond Park,Baseball field at 150th St and 133rd Ave,40.6676000003,-73.7894000003,1042673.66562,182571.310104,,,Queens,
268,POINT (-73.78900000038999 40.669799999587276),QU,Limited Free,TimeWarner,Baisley Pond Park,Tennis Courts at 150th St and 130th Ave,40.6697999996,-73.7890000004,1042782.70084,183373.096886,,,Queens,
269,POINT (-73.78860000007369 40.67139999992006),QU,Limited Free,TimeWarner,Baisley Pond Park,Cricket Pitch at 150th St and Sutter Ave,40.6713999999,-73.7886000001,1042892.25639,183956.288305,,,Queens,
270,POINT (-73.7883000001361 40.68160000006848),QU,Limited Free,TimeWarner,Baisley Pond Park,Basketball Courts at Foch Blvd and 155th St,40.6816000001,-73.7883000001,1042966.49509,187672.630938,,,Queens,
271,POINT (-73.78749999991149 40.68050000019623),QU,Limited Free,TimeWarner,Baisley Pond Park,Tennis Courts 155th St and 118th Ave,40.6805000002,-73.7874999999,1043189.35258,187272.407657,,,Queens,
272,POINT (-73.7875000004888 40.67960000010827),QU,Limited Free,TimeWarner,Baisley Pond Park,Benches near the lake,40.6796000001,-73.7875000005,1043190.14786,186944.512644,,,Queens,
273,POINT (-73.78739999944605 40.675099999849614),QU,Limited Free,TimeWarner,Baisley Pond Park,Benches near flagpole,40.6750999998,-73.7873999994,1043221.86367,185305.10549,,,Queens,
