num,Name,Location,YearRound,Handicap,Borough,Lat,Lon
100,Carver Playground,Ralph Avenue & Sumpter Street,No,No,Brooklyn,40.634696,-73.9188247
103,Castlewood Playground (PS 186),Little Neck Parkway & 72 Avenue,Yes,No,Queens,40.7536177,-73.7227354
104,Cauldwell Playground,"Caldwell Avenue, East 163 Street, East 161 Street",Yes,No,Bronx,40.8227778,-73.9074999
105,Cavanaugh Triangle (Angelo Campanero Playground),"East Gun Hill Road, Eastchest Road, & O'Neil Place",Yes,Yes,Bronx,40.868492,-73.842659
107,Central Park (Ancient Playground),85 ST & 5TH AVE,No,Yes,Manhattan,40.7874455,-73.9619003691178
112,Central Park (Heckscher Playground),"62 ST, BET WEST & CENTER DRS",No,No,Manhattan,40.7874455,-73.9619003691178
113,Central Park (Kerbs Boathouse),74th Street near Fifth Avenue,Yes,No,Manhattan,40.7874455,-73.9619003691178
114,Central Park (Lasker),Central Park at 107th Street,Yes,Yes,Manhattan,40.7987267,-73.9595458
117,Central Park (Ramble),Central Park,No,No,Manhattan,40.7828647,-73.9653551
119,Central Park (Tavern on The Green),Central Park,No,No,Manhattan,40.7828647,-73.9653551
120,Central Park (Tennis Courts),93d Street near the West Drive,Yes,No,Manhattan,40.7874455,-73.9619003691178
121,Central Park (The Great Hill),West Side from 103rd to 107th streets,No,No,Manhattan,40.79686915,-73.9589231124157
122,Central Park (The Metropolitan Museum of Art),Fifth Avenue at 82nd Street,Yes,No,Manhattan,40.7789422,-73.9623032
123,Central Park (West 61st),"West Drive, Central Park West, & 65th Street Transverse",No,No,Manhattan,40.7692746,-73.9810291
125,Central Park Delacorte Comfort Station,Mid-Park at 80th Street,Yes,Yes,Manhattan,40.7830603,-73.9712488
126,Century Playground,Brighton Beach Avenue & West 2 Street,Yes,No,Brooklyn,40.5775615,-73.961412
127,Challenge Playground (PS 187) 251 Street Playground,251 Street & 63 Avenue,No,No,Queens,40.7566667,-73.7280555
128,Chelsea Park,West 27 Street & 9 Avenue,Yes,No,Manhattan,40.7501252,-74.0012230555722
129,Chelsea Recreation Center,"South of West 25 Street, 9 to 10 avenues",Yes,Yes,Manhattan,40.74838,-74.002
130,Cherry Tree (Washington) Playground,"99 to 100 streets, 3 Avenue",Yes,No,Manhattan,40.7872666,-73.9472102
131,Chester Playground,"Chester Street, Sutter Avenue",Yes,No,Brooklyn,40.6688889,-73.9119443
132,Ciccarone Park Playground,"Arthur Avenue, East 188 Street",Yes,No,Bronx,40.8370495,-73.86542949999999
133,City Line Park,Atlantic & Fountain avenues,Yes,No,Brooklyn,40.67962895,-73.8755341651647
134,Claremont Park,Mount Eden Parkway & Morris Avenue,Yes,No,Bronx,40.8427457,-73.908643
135,Claremont Park Playground,E 170 Street & Teller Avenue,Yes,No,Bronx,40.856678,-73.9012832
136,Clark Playground,"3 Avenue, East 144 Street, East 146 Street",Yes,Yes,Bronx,40.8138889,-73.9213888
137,Clement Clark Moore Park,Broadway & 83 Street,Yes,No,Queens,41.1115472,-73.8583806
138,Clintonville Playground (JHS 194),"Clintonville Street, 17 Road & 17 Avenue",Yes,No,Queens,40.7833333,-73.8080555
139,Col. Charles Young Playground,West 144 Street & Lenox Avenue,Yes,No,Manhattan,40.8195904,-73.9361885
140,Col. David Marcus Memorial Playground,"Ocean Parkway, Avenue P, East 3 Street",Yes,No,Brooklyn,40.6781784,-73.9441579
141,Coleman Square Playground,Between Cherry & Monroe streets,Yes,No,Manhattan,40.7111111,-73.993611
142,College Point Park,130th Street & 23rd Avenue,Yes,No,Queens,40.7856383,-73.8463348058316
146,Com. John Barry Park & Playground,South of Flushing Avenue,Yes,No,Brooklyn,40.7018957,-73.9369936
147,Com. John Barry Park & Playground,South of Flushing Avenue,No,No,Brooklyn,40.7018957,-73.9369936
148,Com. John Barry Park & Playground (Athletic Area),South of Flushing Avenue,No,No,Brooklyn,40.7018957,-73.9369936
149,Comm. Eugene S. Sarsfield Playground,"East 38 Street & Ryder Street, Avenue M",Yes,No,Brooklyn,40.6202258,-73.93763539999999
150,Coney Island,Brighton 2nd,No,Yes,Brooklyn,40.575789,-73.9851449
151,Coney Island,W 27 ST.,No,Yes,Brooklyn,40.575789,-73.9851449
152,Coney Island,W 33 St.,No,Yes,Brooklyn,40.575789,-73.9851449
154,Coney Island Beach,Stillwell Avenue,Yes,Yes,Brooklyn,40.5905519,-73.9840847
155,Coney Island Beach,West 16th Street,No,Yes,Brooklyn,40.57293285,-73.9745374693009
156,Coney Island Beach,W 22 ST.,No,Yes,Brooklyn,40.57293285,-73.9745374693009
157,Cooper Park,"Sharon, Olive streets, Maspeth & Morgan avenues",Yes,No,Brooklyn,40.7153476,-73.9387012
159,Corporal John A. Seravalli Playground,Hudson & Horatio streets,Yes,No,Manhattan,42.2528649,-73.790959
160,Corporal Thompson Park,"Broadway, Henderson Avenue",No,No,Staten Island,40.6379157,-74.1184904
161,Corporal Thompson Park/West Brighton Pool,"Broadway, Henderson Avenue",No,Yes,Staten Island,40.5795317,-74.1502007
163,Crotona Park (Martin Van Buren Playground),Crotona East & Claremont Parkway,Yes,No,Bronx,40.8389019,-73.8938644115504
164,Crotona Park (Playground of the Stars),Fulton Avenue & Crotona Park South,Yes,No,Bronx,43.2880277,-76.1482738
165,Crotona Park (Pool House),173rd Street and Fulton Avenue,Yes,Yes,Bronx,40.8406948,-73.8982441
166,Crotona Park Environmental Center,"Crotona Park North, Crotona Park South, Crotona Park East, Fulton Avenue",Yes,No,Bronx,40.8370495,-73.86542949999999
167,Crowley Playground,57 Avenue & 83 Street,Yes,No,Queens,40.72953655,-73.8796230182218
169,Cunningham Park (210th Street Playground),210 Street & 73 Avenue,Yes,No,Queens,40.7351973,-73.7679361312199
171,Cypress Hills Park,Blake & Euclid avenues,Yes,No,Brooklyn,40.6770477,-73.8912473
172,Daniel M. O'Connell Playground,113 Avenue & 196 Street,Yes,No,Queens,40.7,-73.7580555
177,Digilio Playground,McDonald Avenue & Avenue F,Yes,No,Brooklyn,40.6235909,-73.9758061
178,Dimattina Playground,Hicks & Rapelye streets,Yes,No,Brooklyn,40.6798459,-74.0027560097147
180,Double Nickel Playground,Osborne Street and Preston Avenue,Yes,Yes,Staten Island,40.5374856,-74.1622243
185,Drew Playground,"Fulton Avenue, East 169 Street",Yes,No,Bronx,40.8333333,-73.9033332
186,Dry Dock Playground,"East 10 Street & Szold Place, Avenue D",No,No,Manhattan,40.7255556,-73.9755555
187,Dugan Playground,Mill Road & Tysens Lane,Yes,No,Staten Island,40.5615308,-74.1108603
188,Dutch Kills Playground (PS 112),"Crescent-28 streets, 36 Avenue, 37 Avenue",Yes,No,Queens,40.7570039,-73.9332799125892
189,Dyckman House Museum,Broadway & West 204 Street,Yes,No,Manhattan,41.1115472,-73.8583806
191,East Elmhurst Playground (PS 127),25 Avenue & 98 Street,Yes,Yes,Queens,40.765611,-73.8709733237758
192,East River Park (10th Street),Northern extreme of park,Yes,No,Manhattan,40.718547,-73.9741378403236
194,East River Park (Track Building),East 6 Street & FDR Drive,Yes,No,Manhattan,40.718547,-73.9741378403236
196,East Springfield Playground,115 Road between 218 & 219 streets,Yes,No,Queens,40.6985062,-73.7401548
199,Ederle Comfort Station,Flushing Meadows Corona Park,No,Yes,Queens,40.7397136,-73.840785
200,Edmonds Playground,"DeKalb Avenue, Adelphi Street",Yes,No,Brooklyn,40.6894444,-73.9716666
201,Electric Playground,"164 Street, south of 65 Avenue",Yes,No,Queens,40.736031,-73.8053083
202,Emerald Playground (PS 200),164 Street between Jewel & 71 avenues,Yes,No,Queens,40.7311111,-73.806111
203,Equity Park,"90 Street, 88 & 89 avenues",Yes,No,Queens,40.6913889,-73.853611
204,Ethan Allen Playground,New Jersey Avenue & Vermont Street/Worthman,Yes,No,Brooklyn,40.6555556,-73.8872221
205,Farm Playground,"73 Avenue, 195 Street & 196 Place",Yes,No,Queens,40.7352778,-73.7774999
