"","num","Name","Location","YearRound","Handicap","Borough","Lat","Lon","zip"
"100",137,"Clement Clark Moore Park","Broadway & 83 Street","Yes","No","Queens",41.1115472,-73.8583806,"10510"
"101",138,"Clintonville Playground (JHS 194)","Clintonville Street, 17 Road & 17 Avenue","Yes","No","Queens",40.7833333,-73.8080555,"11357"
"102",139,"Col. Charles Young Playground","West 144 Street & Lenox Avenue","Yes","No","Manhattan",40.8195904,-73.9361885,"10037"
"103",140,"Col. David Marcus Memorial Playground","Ocean Parkway, Avenue P, East 3 Street","Yes","No","Brooklyn",40.6781784,-73.9441579,"11213"
"104",141,"Coleman Square Playground","Between Cherry & Monroe streets","Yes","No","Manhattan",40.7111111,-73.993611,"10002"
"105",142,"College Point Park","130th Street & 23rd Avenue","Yes","No","Queens",40.7856383,-73.8463348058316,"11356"
"106",146,"Com. John Barry Park & Playground","South of Flushing Avenue","Yes","No","Brooklyn",40.7018957,-73.9369936,"11206"
"107",147,"Com. John Barry Park & Playground","South of Flushing Avenue","No","No","Brooklyn",40.7018957,-73.9369936,"11206"
"108",148,"Com. John Barry Park & Playground (Athletic Area)","South of Flushing Avenue","No","No","Brooklyn",40.7018957,-73.9369936,"11206"
"109",149,"Comm. Eugene S. Sarsfield Playground","East 38 Street & Ryder Street, Avenue M","Yes","No","Brooklyn",40.6202258,-73.9376354,"11234"
"110",150,"Coney Island","Brighton 2nd","No","Yes","Brooklyn",40.575789,-73.9851449,"11224"
"111",151,"Coney Island","W 27 ST.","No","Yes","Brooklyn",40.575789,-73.9851449,"11224"
"112",152,"Coney Island","W 33 St.","No","Yes","Brooklyn",40.575789,-73.9851449,"11224"
"113",154,"Coney Island Beach","Stillwell Avenue","Yes","Yes","Brooklyn",40.5905519,-73.9840847,"11223"
"114",155,"Coney Island Beach","West 16th Street","No","Yes","Brooklyn",40.57293285,-73.9745374693009,"11224"
"115",156,"Coney Island Beach","W 22 ST.","No","Yes","Brooklyn",40.57293285,-73.9745374693009,"11224"
"116",157,"Cooper Park","Sharon, Olive streets, Maspeth & Morgan avenues","Yes","No","Brooklyn",40.7153476,-73.9387012,"11211"
"117",159,"Corporal John A. Seravalli Playground","Hudson & Horatio streets","Yes","No","Manhattan",42.2528649,-73.790959,"12534"
"118",160,"Corporal Thompson Park","Broadway, Henderson Avenue","No","No","Staten Island",40.6379157,-74.1184904,"10310"
"119",161,"Corporal Thompson Park/West Brighton Pool","Broadway, Henderson Avenue","No","Yes","Staten Island",40.5795317,-74.1502007,"10314"
"120",163,"Crotona Park (Martin Van Buren Playground)","Crotona East & Claremont Parkway","Yes","No","Bronx",40.8389019,-73.8938644115504,"10457"
"121",164,"Crotona Park (Playground of the Stars)","Fulton Avenue & Crotona Park South","Yes","No","Bronx",43.2880277,-76.1482738,"13036"
"122",165,"Crotona Park (Pool House)","173rd Street and Fulton Avenue","Yes","Yes","Bronx",40.8406948,-73.8982441,"10457"
"123",166,"Crotona Park Environmental Center","Crotona Park North, Crotona Park South, Crotona Park East, Fulton Avenue","Yes","No","Bronx",40.8370495,-73.8654295,"10460"
"124",167,"Crowley Playground","57 Avenue & 83 Street","Yes","No","Queens",40.72953655,-73.8796230182218,"11373"
"125",169,"Cunningham Park (210th Street Playground)","210 Street & 73 Avenue","Yes","No","Queens",40.7351973,-73.7679361312199,"11427"
"126",171,"Cypress Hills Park","Blake & Euclid avenues","Yes","No","Brooklyn",40.6770477,-73.8912473,"11207"
"127",172,"Daniel M. O'Connell Playground","113 Avenue & 196 Street","Yes","No","Queens",40.7,-73.7580555,"11412"
"128",177,"Digilio Playground","McDonald Avenue & Avenue F","Yes","No","Brooklyn",40.6235909,-73.9758061,"11230"
"129",178,"Dimattina Playground","Hicks & Rapelye streets","Yes","No","Brooklyn",40.6798459,-74.0027560097147,"11231"
"130",180,"Double Nickel Playground","Osborne Street and Preston Avenue","Yes","Yes","Staten Island",40.5374856,-74.1622243,"10312"
"131",185,"Drew Playground","Fulton Avenue, East 169 Street","Yes","No","Bronx",40.8333333,-73.9033332,"10456"
"132",186,"Dry Dock Playground","East 10 Street & Szold Place, Avenue D","No","No","Manhattan",40.7255556,-73.9755555,"10009"
"133",187,"Dugan Playground","Mill Road & Tysens Lane","Yes","No","Staten Island",40.5615308,-74.1108603,"10306"
"134",188,"Dutch Kills Playground (PS 112)","Crescent-28 streets, 36 Avenue, 37 Avenue","Yes","No","Queens",40.7570039,-73.9332799125892,"11101"
"135",189,"Dyckman House Museum","Broadway & West 204 Street","Yes","No","Manhattan",41.1115472,-73.8583806,"10510"
"136",191,"East Elmhurst Playground (PS 127)","25 Avenue & 98 Street","Yes","Yes","Queens",40.765611,-73.8709733237758,"11369"
"137",192,"East River Park (10th Street)","Northern extreme of park","Yes","No","Manhattan",40.718547,-73.9741378403236,"10002"
"138",194,"East River Park (Track Building)","East 6 Street & FDR Drive","Yes","No","Manhattan",40.718547,-73.9741378403236,"10002"
"139",196,"East Springfield Playground","115 Road between 218 & 219 streets","Yes","No","Queens",40.6985062,-73.7401548,"11411"
"140",199,"Ederle Comfort Station","Flushing Meadows Corona Park","No","Yes","Queens",40.7397136,-73.840785,"11367"
"141",200,"Edmonds Playground","DeKalb Avenue, Adelphi Street","Yes","No","Brooklyn",40.6894444,-73.9716666,"11205"
"142",201,"Electric Playground","164 Street, south of 65 Avenue","Yes","No","Queens",40.736031,-73.8053083,"11432"
"143",202,"Emerald Playground (PS 200)","164 Street between Jewel & 71 avenues","Yes","No","Queens",40.7311111,-73.806111,"11365"
"144",203,"Equity Park","90 Street, 88 & 89 avenues","Yes","No","Queens",40.6913889,-73.853611,"11421"
"145",204,"Ethan Allen Playground","New Jersey Avenue & Vermont Street/Worthman","Yes","No","Brooklyn",40.6555556,-73.8872221,"11207"
"146",205,"Farm Playground","73 Avenue, 195 Street & 196 Place","Yes","No","Queens",40.7352778,-73.7774999,"11366"
"147",206,"Fermi Playground","Troutman Street & Central Avenue","Yes","No","Brooklyn",40.704825,-73.924586,"11237"
"148",207,"Fisher Pool","32 Avenue, 99 Street","No","No","Queens",40.7589344,-73.8694086518065,"11369"
"149",208,"Flushing Fields (Leonardo Ingravallo Playground)","Bayside Avenue, 25 Avenue, 149 to 150 streets","Yes","No","Queens",40.7585569,-73.7654367,"11361"
"150",209,"Flushing Meadows Corona Park (Albert H. Mauro Playground)","Park Drive East & 73 Terrace","Yes","No","Queens",40.7251204,-73.8277254,"11367"
"151",210,"Flushing Meadows Corona Park (Lawrence Playground)","College Point Boulevard and Lawrence Street","Yes","No","Queens",40.7903854,-73.8293995,"11357"
"152",213,"Flushing Meadows Corona Park (Playground for All Children)","111 Street and Corona Avenue","Yes","Yes","Queens",40.7406704,-73.8501755,"11368"
"153",217,"Forest Park (Dry Harbour Playground)","80 Street & Myrtle Avenue","Yes","No","Queens",40.7034362,-73.8504128,"11418"
"154",218,"Forest Park (Jackson Pond Playground)","108 Street and Park Lane South","Yes","No","Queens",40.7009165,-73.8421344,"11418"
"155",220,"Forest Park (Sobelsohn Playground, The Overlook)","Park Lane South and Abingdon Road","Yes","No","Queens",40.7096359,-73.834812,"11415"
"156",223,"Forest Park (Victory Field)","Long Island Railroad to Woodhaven Boulevard. to Myrtle Avenue to 96th Street","Yes","No","Queens",40.789142,-73.134961,"11779"
"157",224,"Forest Park (Visitor Center, near the Carousel)","Woodhaven Boulevard and Forest Park Drive","Yes","No","Queens",40.700542,-73.8546456,"11416"
"158",226,"Fort Greene Playground","Myrtle Avenue & St. Edwards Plaza","Yes","Yes","Brooklyn",40.699841,-73.908683,"11385"
"159",227,"Fort Independence Playground","Stevenson Place, West 238 Street, Sedgwick Avenue","Yes","No","Bronx",40.8816434,-73.8961157,"10468"
"160",228,"Fort Tryon Park (Anne Loftus Playground)","Broadway & Dyckman Street","Yes","Yes","Manhattan",41.1115472,-73.8583806,"10510"
"161",229,"Fort Tryon Park (Café)","One Margaret Corbin Drive","No","No","Manhattan",40.8608206,-73.9327696,"10040"
"162",230,"Fort Tryon Park (The Cloisters)","Riverside Drive to Broadway, West 192 to Dyckman streets","Yes","No","Manhattan",40.8158821,-73.9623705,"10115"
"163",231,"Fort Washington Park (Lily Brown Playground)","West 162 Street, east of Riverside Drive","Yes","Yes","Manhattan",40.8532115,-73.9417566769514,"10034"
"164",232,"Fox Playground","Avenue H, East 54 to E 55 streets","Yes","Yes","Brooklyn",40.6322222,-73.9238888,"11234"
"165",233,"Francis Lewis Playground","3 Avenue and Bronx Whitestone Bridge","Yes","No","Queens",40.7955686,-73.8258891,"11357"
"166",234,"Frank D. O'Connor Playground","Broadway & 78 Street","Yes","No","Queens",41.1115472,-73.8583806,"10510"
"167",235,"Frank Golden Park","132 to 138 streets, 14 Road","Yes","No","Queens",40.78493505,-73.8344713595974,"11356"
"168",237,"Frederick B. Judge Memorial Playground","111 Avenue, 134 & 135 streets, Lincoln Street","Yes","No","Queens",40.7282239,-73.7948516,"11366"
"169",238,"Frederick Douglass Playground","West 100-101 Street Amsterdam Avenue","Yes","No","Manhattan",40.7969444,-73.9677777,"10040"
"170",239,"Frederick E. Samuel Playground","Lenox Avenue, West 139 to West 140 streets","Yes","No","Manhattan",40.817202,-73.9391049,"10030"
"171",240,"Frederick Johnson Park","7 Avenue, West 150-151 streets","Yes","No","Manhattan",40.7830603,-73.9712488,"10024"
"172",241,"Fresh Meadows Playground (PS 173)","67 Avenue & 173 Street","Yes","No","Queens",40.7341667,-73.796111,"11365"
"173",244,"Galapo Playground","Bedford Avenue, Gravesend Neck Road","Yes","No","Brooklyn",40.6081026,-73.9481894,"11229"
"174",245,"Garibaldi Playground","82 to 83 Street at 18 Avenue","Yes","No","Brooklyn",40.6090201,-74.0001547794441,"11214"
"175",246,"General Douglas MacArthur Park","East 49 Street & East River Drive","Yes","No","Manhattan",40.7830603,-73.9712488,"10024"
"176",247,"Glenwood Playground","Ralph Avenue & Farragut Road","Yes","Yes","Brooklyn",40.634696,-73.9188247,"11234"
"177",248,"Gorman Playground","30 Avenue between 84 & 85 streets","Yes","No","Queens",40.76238795,-73.8842362690105,"11372"
"178",249,"Gouverneur Playground","3rd Avenue, St. Paul's Place, East 170 Street","Yes","No","Bronx",40.8352778,-73.9038888,"10456"
"179",250,"Gowanus Playground","Wyckoff Street between Bond & Hoyt streets","Yes","No","Brooklyn",40.6847463,-73.9882083,"11217"
"180",252,"Gravesend Park","18 Avenue & 56 Street","Yes","No","Brooklyn",40.6235637,-73.984404404921,"11204"
"181",254,"Greene Playground","Greene & Washington avenues","Yes","No","Brooklyn",40.68030295,-73.9853484897914,"11217"
"182",255,"Greenwood Playground","Fort Hamilton Parkway, Greenwood, East 5 Street","Yes","No","Brooklyn",40.6094454,-74.0285434,"11209"
"183",259,"Gunn Park (PS 18)","Hillside Avenue, east of 235 Court","No","No","Queens",40.7325,-73.731111,"11040"
"184",262,"Haggerty Park","202 Street & Jamaica Avenue","No","Yes","Queens",40.71307635,-73.7576773096989,"11001"
"185",263,"Hallets Cove Playground","Hallets Cove, Vernon Boulevard","Yes","No","Queens",40.7717904,-73.9343288,"11102"
"186",264,"Hamilton Fish Park (Recreation Center)","Between East Houston & Stanton streets","Yes","Yes","Manhattan",40.7197972,-73.9808361521585,"10002"
"187",265,"Hamilton-Metz Field","Albany, East New York, Lefferts avenues","Yes","No","Brooklyn",42.6525793,-73.7562317,"12210"
"188",266,"Hammel Playground","Rockaway Beach Blvd. Bet. Beach 84 St. And Beach 81 St.","No","Yes","Queens",40.5831381,-73.8226613,"11694"
