"","Complaint","Lat","Lon"
"1219","Animal in a Park",40.77700565,-73.96372768
"1223","Animal in a Park",40.6529076,-73.97769182
"1226","Animal in a Park",40.70542817,-74.0044399
"1228","Animal in a Park",40.83223646,-73.85426265
"1233","Animal in a Park",40.67279721,-73.9832837
"1237","Animal in a Park",40.6998478,-73.99103077
"1238","Animal in a Park",40.77700565,-73.96372768
"1247","Animal in a Park",40.72972315,-73.95924335
"1251","Animal in a Park",40.60347091,-73.95728212
"1258","Animal in a Park",40.70435215,-74.00610973
"1272","Animal in a Park",40.74288949,-73.8828303
"1274","Animal in a Park",40.61454599,-74.10935895
"1276","Animal in a Park",40.59578408,-73.98406276
"1290","Animal in a Park",40.63919971,-73.93873176
"1300","Animal in a Park",40.7182761,-73.90218422
"1303","Animal in a Park",40.67847996,-74.00585138
"1308","Animal in a Park",40.78324184,-73.97453912
"1309","Animal in a Park",40.52257213,-74.19000531
"1311","Animal in a Park",40.83405714,-73.88972735
"1316","Animal in a Park",40.66312519,-73.96243073
"1342","Animal in a Park",40.72087196,-73.96112831
"1350","Animal in a Park",40.71308054,-73.96407269
"1351","Animal in a Park",40.8258108,-73.90703053
"1352","Animal in a Park",40.8849086,-73.91630373
"1353","Animal in a Park",40.88125521,-73.88428611
"1354","Animal in a Park",40.54939057,-74.20039798
"1355","Animal in a Park",40.77226109,-73.92590085
"1359","Animal in a Park",40.79652899,-73.97411147
"1368","Animal in a Park",40.72972315,-73.95924335
"1370","Animal in a Park",40.87689165,-73.87941204
"1378","Animal in a Park",40.84731095,-73.87082714
"1379","Animal in a Park",40.78075515,-73.96435032
"1381","Animal in a Park",40.73631568,-73.85390954
"1384","Animal in a Park",40.8446865,-73.94079421
"1387","Animal in a Park",40.52822473,-74.23937129
"1391","Animal in a Park",40.85030395,-73.85136752
"1392","Animal in a Park",40.78408258,-73.95856731
"1395","Animal in a Park",40.78408258,-73.95856731
"1399","Animal in a Park",40.74903553,-73.91466988
"1404","Animal in a Park",40.69718568,-73.92883327
"1406","Animal in a Park",40.74678308,-73.9198697
"1421","Animal in a Park",40.72326039,-73.98843007
"1422","Animal in a Park",40.69758368,-73.94964854
"1425","Homeless Encampment",40.63779424,-74.02509192
"1426","Homeless Encampment",40.7756063,-73.94427843
"1427","Homeless Encampment",40.75065873,-73.99087596
"1428","Homeless Encampment",40.74494157,-73.8873378
"1429","Homeless Encampment",40.75174576,-73.99242779
"1430","Homeless Encampment",40.76763978,-73.9229818
"1431","Homeless Encampment",40.73918805,-73.90175297
"1432","Homeless Encampment",40.73421803,-73.97482125
"1433","Homeless Encampment",40.57630376,-73.96853078
"1434","Homeless Encampment",40.75237897,-73.97034248
"1435","Homeless Encampment",40.74891563,-73.93739654
"1436","Homeless Encampment",40.80513733,-73.94523982
"1437","Homeless Encampment",40.84087513,-73.91978528
"1438","Homeless Encampment",40.78463255,-73.8363333
"1439","Homeless Encampment",40.86811354,-73.91975243
"1440","Homeless Encampment",40.79601867,-73.97501458
"1441","Homeless Encampment",40.63082121,-73.88635597
"1442","Homeless Encampment",40.7048242,-74.00689964
"1443","Homeless Encampment",40.80419097,-73.95272487
"1444","Homeless Encampment",40.75251855,-73.96879403
"1445","Homeless Encampment",40.64629268,-74.07859341
"1446","Homeless Encampment",40.78363154,-73.94351702
"1447","Homeless Encampment",40.58445611,-73.81295442
"1448","Homeless Encampment",40.72972315,-73.95924335
"1449","Homeless Encampment",40.87230054,-73.92585807
"1450","Homeless Encampment",40.72972315,-73.95924335
"1451","Homeless Encampment",40.74494157,-73.8873378
"1452","Homeless Encampment",40.72060064,-73.9547539
"1453","Homeless Encampment",40.75096922,-73.82576521
"1454","Homeless Encampment",40.80322395,-73.94459845
"1455","Homeless Encampment",40.77052932,-73.98011101
"1456","Homeless Encampment",40.71502208,-73.95177447
"1457","Homeless Encampment",40.81404952,-73.93482088
"1458","Homeless Encampment",40.79788748,-73.97346082
"1459","Homeless Encampment",40.72122014,-73.98157238
"1460","Homeless Encampment",40.79601867,-73.97501458
"1461","Homeless Encampment",40.63387096,-74.01494834
"1462","Homeless Encampment",40.72426514,-73.93765421
"1463","Homeless Encampment",40.80574271,-73.94275415
"1464","Homeless Encampment",40.86466396,-73.92889266
"1465","Homeless Encampment",40.76732094,-73.92230347
"1466","Homeless Encampment",40.77359607,-73.91177894
"1467","Homeless Encampment",40.74494157,-73.8873378
"1468","Homeless Encampment",40.76726871,-73.92218801
"1469","Homeless Encampment",40.6613542,-73.9696801
"1470","Homeless Encampment",40.77461483,-73.92398106
"1471","Homeless Encampment",40.77230057,-73.98623728
"1472","Homeless Encampment",40.78463255,-73.8363333
"1473","Homeless Encampment",40.80563944,-73.93439205
"1474","Homeless Encampment",40.72579385,-74.01102558
"1475","Homeless Encampment",40.75099082,-73.99062327
"1476","Homeless Encampment",40.75174576,-73.99242779
"1477","Homeless Encampment",40.80275152,-73.93357496
"1478","Homeless Encampment",40.72972315,-73.95924335
"1479","Homeless Encampment",40.7616939,-73.91788804
"1480","Homeless Encampment",40.71726331,-74.00906175
"1481","Homeless Encampment",40.78283466,-73.9846174
"1482","Homeless Encampment",40.74089156,-73.92200229
"1483","Homeless Encampment",40.80942898,-73.95543044
"1484","Homeless Encampment",40.80942898,-73.95543044
"1485","Homeless Encampment",40.67399127,-73.97011778
"1486","Homeless Encampment",40.60387852,-73.93171291
"1487","Homeless Encampment",40.78319145,-73.98445121
"1488","Homeless Encampment",40.75237897,-73.97034248
"1489","Homeless Encampment",40.74830988,-73.8259851
"1490","Homeless Encampment",40.7024083,-74.01282501
"1491","Homeless Encampment",40.90167078,-73.9061105
"1492","Homeless Encampment",40.7239083,-73.93761846
"1493","Homeless Encampment",40.79332916,-73.97657215
"1494","Homeless Encampment",40.73890028,-73.73377465
"1495","Homeless Encampment",40.63387096,-74.01494834
"1496","Homeless Encampment",40.75251855,-73.96879403
"1497","Homeless Encampment",40.65488243,-73.96188035
"1498","Homeless Encampment",40.63812094,-74.02475335
"1499","Homeless Encampment",40.75219047,-73.9934636
"1500","Homeless Encampment",40.76726871,-73.92218801
"1501","Homeless Encampment",40.75580465,-73.96181177
"1502","Homeless Encampment",40.84138299,-73.93771431
"1503","Homeless Encampment",40.71814457,-73.99382768
"1504","Homeless Encampment",40.74986343,-73.82239714
"1505","Homeless Encampment",40.76060052,-73.96431418
"1506","Homeless Encampment",40.76060052,-73.96431418
"1507","Homeless Encampment",40.68733057,-73.98181612
"1508","Homeless Encampment",40.71610838,-73.95031633
"1509","Homeless Encampment",40.81532634,-73.93575532
"1510","Homeless Encampment",40.74345077,-73.98819199
"1511","Homeless Encampment",40.75764906,-73.82518464
"1512","Homeless Encampment",40.76984927,-73.98431353
"1513","Homeless Encampment",40.75065873,-73.99087596
"1514","Homeless Encampment",40.72972315,-73.95924335
"1515","Homeless Encampment",40.76060052,-73.96431418
"1516","Homeless Encampment",40.84168028,-73.93933316
"1517","Homeless Encampment",40.80256169,-73.94299166
"1518","Homeless Encampment",40.61199331,-73.94405483
"1519","Homeless Encampment",40.56771141,-74.13976486
"1520","Homeless Encampment",40.8075392,-73.9351054
"1521","Homeless Encampment",40.76084201,-73.96415161
"1522","Homeless Encampment",40.8828754,-73.88511144
"1523","Homeless Encampment",40.82199238,-73.94464425
"1524","Homeless Encampment",40.8828754,-73.88511144
"1525","Homeless Encampment",40.69160749,-73.96174757
"1526","Homeless Encampment",40.72892574,-73.99034855
"1527","Homeless Encampment",40.87394795,-73.88340209
"1528","Homeless Encampment",40.76461681,-73.95832312
"1529","Homeless Encampment",40.74575978,-73.97516696
"1530","Homeless Encampment",40.74311857,-73.98738729
"1531","Homeless Encampment",40.74494157,-73.8873378
"1532","Homeless Encampment",40.80321651,-73.95253051
"1533","Homeless Encampment",40.77114866,-73.94983481
"1534","Homeless Encampment",40.8125797,-73.93725718
"1535","Homeless Encampment",40.81160127,-73.93489192
"1536","Homeless Encampment",40.72983702,-73.99059377
"1537","Homeless Encampment",40.69329899,-73.97422007
"1538","Homeless Encampment",40.80574271,-73.94275415
"1539","Homeless Encampment",40.72972315,-73.95924335
"1540","Homeless Encampment",40.78324787,-73.9447234
"1541","Homeless Encampment",40.74494157,-73.8873378
"1542","Homeless Encampment",40.78463255,-73.8363333
"1543","Homeless Encampment",40.73058122,-74.00168499
"1544","Homeless Encampment",40.74311034,-73.98739812
"1545","Homeless Encampment",40.86331113,-73.90627312
"1546","Homeless Encampment",40.65566511,-73.96315214
"1547","Homeless Encampment",40.6613542,-73.9696801
"1548","Homeless Encampment",40.65488243,-73.96188035
